event_id,x,y,t,closed,description,raw_id
67da9afb-5c94-42a1-8406-659ced32b886:close,-13602219.6296413,6020749.277737305,0,closed,One lane closed due to landslide across from Riviera Apartments,73
67da9afb-5c94-42a1-8406-659ced32b886:reopen,-13602219.6296413,6020749.277737305,9,reopened,One lane closed due to landslide across from Riviera Apartments,73
