tick,n_unhappy,segregation_index,fraction_segregated
0,60,0.4790608465608466,0.0611111111111111
1,33,0.5754828042328042,0.2083333333333333
2,19,0.6318849206349206,0.3222222222222222
3,11,0.6658564814814815,0.4083333333333333
4,10,0.6751223544973545,0.4222222222222222
5,7,0.6849272486772486,0.4472222222222222
6,3,0.7057539682539683,0.4833333333333333
7,1,0.7105555555555556,0.4944444444444444
8,1,0.7108994708994709,0.4944444444444444
9,1,0.7112367724867725,0.4972222222222222
10,1,0.7164583333333333,0.5027777777777778
11,0,0.720218253968254,0.5055555555555555
12,0,0.720218253968254,0.5055555555555555
13,0,0.720218253968254,0.5055555555555555
14,0,0.720218253968254,0.5055555555555555
15,0,0.720218253968254,0.5055555555555555
16,0,0.720218253968254,0.5055555555555555
17,0,0.720218253968254,0.5055555555555555
18,0,0.720218253968254,0.5055555555555555
19,0,0.720218253968254,0.5055555555555555
20,0,0.720218253968254,0.5055555555555555
21,0,0.720218253968254,0.5055555555555555
22,0,0.720218253968254,0.5055555555555555
23,0,0.720218253968254,0.5055555555555555
24,0,0.720218253968254,0.5055555555555555
25,0,0.720218253968254,0.5055555555555555
26,0,0.720218253968254,0.5055555555555555
27,0,0.720218253968254,0.5055555555555555
28,0,0.720218253968254,0.5055555555555555
29,0,0.720218253968254,0.5055555555555555
30,0,0.720218253968254,0.5055555555555555
31,0,0.720218253968254,0.5055555555555555
32,0,0.720218253968254,0.5055555555555555
33,0,0.720218253968254,0.5055555555555555
34,0,0.720218253968254,0.5055555555555555
35,0,0.720218253968254,0.5055555555555555
36,0,0.720218253968254,0.5055555555555555
37,0,0.720218253968254,0.5055555555555555
38,0,0.720218253968254,0.5055555555555555
39,0,0.720218253968254,0.5055555555555555
40,0,0.720218253968254,0.5055555555555555
41,0,0.720218253968254,0.5055555555555555
42,0,0.720218253968254,0.5055555555555555
43,0,0.720218253968254,0.5055555555555555
44,0,0.720218253968254,0.5055555555555555
45,0,0.720218253968254,0.5055555555555555
46,0,0.720218253968254,0.5055555555555555
47,0,0.720218253968254,0.5055555555555555
48,0,0.720218253968254,0.5055555555555555
49,0,0.720218253968254,0.5055555555555555
50,0,0.720218253968254,0.5055555555555555
51,0,0.720218253968254,0.5055555555555555
52,0,0.720218253968254,0.5055555555555555
53,0,0.720218253968254,0.5055555555555555
54,0,0.720218253968254,0.5055555555555555
55,0,0.720218253968254,0.5055555555555555
56,0,0.720218253968254,0.5055555555555555
57,0,0.720218253968254,0.5055555555555555
58,0,0.720218253968254,0.5055555555555555
59,0,0.720218253968254,0.5055555555555555
60,0,0.720218253968254,0.5055555555555555
61,0,0.720218253968254,0.5055555555555555
62,0,0.720218253968254,0.5055555555555555
63,0,0.720218253968254,0.5055555555555555
64,0,0.720218253968254,0.5055555555555555
65,0,0.720218253968254,0.5055555555555555
66,0,0.720218253968254,0.5055555555555555
67,0,0.720218253968254,0.5055555555555555
68,0,0.720218253968254,0.5055555555555555
69,0,0.720218253968254,0.5055555555555555
70,0,0.720218253968254,0.5055555555555555
71,0,0.720218253968254,0.5055555555555555
72,0,0.720218253968254,0.5055555555555555
73,0,0.720218253968254,0.5055555555555555
74,0,0.720218253968254,0.5055555555555555
75,0,0.720218253968254,0.5055555555555555
76,0,0.720218253968254,0.5055555555555555
77,0,0.720218253968254,0.5055555555555555
78,0,0.720218253968254,0.5055555555555555
79,0,0.720218253968254,0.5055555555555555
80,0,0.720218253968254,0.5055555555555555
81,0,0.720218253968254,0.5055555555555555
82,0,0.720218253968254,0.5055555555555555
83,0,0.720218253968254,0.5055555555555555
84,0,0.720218253968254,0.5055555555555555
85,0,0.720218253968254,0.5055555555555555
86,0,0.720218253968254,0.5055555555555555
87,0,0.720218253968254,0.5055555555555555
88,0,0.720218253968254,0.5055555555555555
89,0,0.720218253968254,0.5055555555555555
90,0,0.720218253968254,0.5055555555555555
91,0,0.720218253968254,0.5055555555555555
92,0,0.720218253968254,0.5055555555555555
93,0,0.720218253968254,0.5055555555555555
94,0,0.720218253968254,0.5055555555555555
95,0,0.720218253968254,0.5055555555555555
96,0,0.720218253968254,0.5055555555555555
97,0,0.720218253968254,0.5055555555555555
98,0,0.720218253968254,0.5055555555555555
99,0,0.720218253968254,0.5055555555555555
