condition,p_semantic,p_social,rep,period,repertoire_size,max_level,mean_score
random,0.0,0.0,0,125,14,6,100.8
random,0.0,0.0,0,126,12,5,90.8
random,0.0,0.0,0,127,12,5,96.3
random,0.0,0.0,0,128,12,5,101.5
random,0.0,0.0,0,129,13,6,104.5
random,0.0,0.0,0,130,13,6,105.4
random,0.0,0.0,0,131,13,6,107.2
random,0.0,0.0,0,132,13,6,112.7
random,0.0,0.0,0,133,13,6,107.9
random,0.0,0.0,0,134,13,6,105.8
random,0.0,0.0,0,135,13,6,108.2
random,0.0,0.0,0,136,13,6,108.5
random,0.0,0.0,0,137,13,6,105.8
random,0.0,0.0,0,138,13,6,105.8
random,0.0,0.0,0,139,13,6,108.2
random,0.0,0.0,0,140,13,6,108.2
random,0.0,0.0,0,141,13,6,104.6
random,0.0,0.0,0,142,13,6,90.3
random,0.0,0.0,0,143,13,6,85.7
random,0.0,0.0,0,144,13,6,81.8
random,0.0,0.0,0,145,9,4,69.9
random,0.0,0.0,0,146,9,4,73.2
random,0.0,0.0,0,147,9,4,69.9
random,0.0,0.0,0,148,9,4,72.3
random,0.0,0.0,0,149,11,5,77.2
random,0.0,0.0,0,150,11,5,75.7
random,0.0,0.0,1,0,0,0,0.0
random,0.0,0.0,1,1,5,2,22.2
random,0.0,0.0,1,2,6,2,36.3
random,0.0,0.0,1,3,7,3,47.1
random,0.0,0.0,1,4,7,3,53.7
random,0.0,0.0,1,5,7,3,57.3
random,0.0,0.0,1,6,8,3,60.9
random,0.0,0.0,1,7,8,3,64.2
random,0.0,0.0,1,8,9,4,67.5
random,0.0,0.0,1,9,9,4,70.2
random,0.0,0.0,1,10,9,4,72.6
random,0.0,0.0,1,11,9,4,76.2
random,0.0,0.0,1,12,10,4,78.6
random,0.0,0.0,1,13,10,4,81.3
random,0.0,0.0,1,14,10,4,80.4
random,0.0,0.0,1,15,10,4,82.8
random,0.0,0.0,1,16,10,4,84.9
random,0.0,0.0,1,17,10,4,86.4
random,0.0,0.0,1,18,10,4,87.6
random,0.0,0.0,1,19,11,5,96.1
random,0.0,0.0,1,20,11,5,97.9
random,0.0,0.0,1,21,11,5,100.9
random,0.0,0.0,1,22,11,5,103.0
random,0.0,0.0,1,23,11,5,97.9
random,0.0,0.0,1,24,12,6,105.5
random,0.0,0.0,1,25,12,6,104.6
random,0.0,0.0,1,26,12,6,101.0
random,0.0,0.0,1,27,12,6,103.7
random,0.0,0.0,1,28,12,6,102.5
random,0.0,0.0,1,29,13,6,109.6
random,0.0,0.0,1,30,10,4,78.3
random,0.0,0.0,1,31,10,4,76.5
random,0.0,0.0,1,32,10,4,78.0
random,0.0,0.0,1,33,10,4,82.8
random,0.0,0.0,1,34,11,5,79.0
random,0.0,0.0,1,35,11,5,82.3
random,0.0,0.0,1,36,11,5,79.1
random,0.0,0.0,1,37,11,5,68.9
random,0.0,0.0,1,38,12,5,74.1
random,0.0,0.0,1,39,11,5,59.8
random,0.0,0.0,1,40,11,5,63.1
random,0.0,0.0,1,41,11,5,67.3
random,0.0,0.0,1,42,11,5,70.0
random,0.0,0.0,1,43,11,5,73.9
random,0.0,0.0,1,44,11,5,76.9
random,0.0,0.0,1,45,11,5,80.8
random,0.0,0.0,1,46,12,5,89.9
random,0.0,0.0,1,47,12,5,91.1
random,0.0,0.0,1,48,12,5,93.5
random,0.0,0.0,1,49,12,5,94.7
random,0.0,0.0,1,50,12,5,95.6
random,0.0,0.0,1,51,12,5,97.4
random,0.0,0.0,1,52,12,5,97.7
random,0.0,0.0,1,53,12,5,98.9
random,0.0,0.0,1,54,11,5,92.5
random,0.0,0.0,1,55,11,5,92.5
random,0.0,0.0,1,56,11,5,93.7
random,0.0,0.0,1,57,11,5,92.5
random,0.0,0.0,1,58,12,6,97.1
random,0.0,0.0,1,59,12,6,98.3
random,0.0,0.0,1,60,12,6,95.0
random,0.0,0.0,1,61,12,6,94.1
random,0.0,0.0,1,62,12,6,95.3
random,0.0,0.0,1,63,12,6,95.6
random,0.0,0.0,1,64,12,6,91.1
random,0.0,0.0,1,65,12,6,91.7
random,0.0,0.0,1,66,10,4,70.8
random,0.0,0.0,1,67,10,4,71.7
random,0.0,0.0,1,68,11,5,75.1
random,0.0,0.0,1,69,11,5,76.6
random,0.0,0.0,1,70,11,5,74.8
random,0.0,0.0,1,71,12,6,75.1
